repetition,fit_succeeded,singular,contrast,estimate,scale
56,TRUE,FALSE,Grounding vs Thematic,-0.18478094112264953,log_odds
56,TRUE,FALSE,Thematic vs Control,1.8650935768068655,log_odds
56,TRUE,FALSE,Grounding vs Control,0.3666226659559037,probability
56,TRUE,FALSE,Grounding vs Thematic,-0.05816729346304378,probability
56,TRUE,FALSE,Thematic vs Control,0.4247899594189475,probability
57,TRUE,FALSE,Grounding vs Control,2.1890315037140096,log_odds
57,TRUE,FALSE,Grounding vs Thematic,1.3042315804384312,log_odds
57,TRUE,FALSE,Thematic vs Control,0.8847999232755784,log_odds
57,TRUE,FALSE,Grounding vs Control,0.4401024453495374,probability
57,TRUE,FALSE,Grounding vs Thematic,0.2240593546506291,probability
57,TRUE,FALSE,Thematic vs Control,0.2160430906989083,probability
58,TRUE,FALSE,Grounding vs Control,1.80190122560718,log_odds
58,TRUE,FALSE,Grounding vs Thematic,0.9182478930183817,log_odds
58,TRUE,FALSE,Thematic vs Control,0.8836533325887984,log_odds
58,TRUE,FALSE,Grounding vs Control,0.2803591883283136,probability
58,TRUE,FALSE,Grounding vs Thematic,0.07527046376144231,probability
58,TRUE,FALSE,Thematic vs Control,0.20508872456687127,probability
59,TRUE,FALSE,Grounding vs Control,1.5021490262314885,log_odds
59,TRUE,FALSE,Grounding vs Thematic,1.1256240198232415,log_odds
59,TRUE,FALSE,Thematic vs Control,0.37652500640824704,log_odds
59,TRUE,FALSE,Grounding vs Control,0.17748908705920413,probability
59,TRUE,FALSE,Grounding vs Thematic,0.09089192878584829,probability
59,TRUE,FALSE,Thematic vs Control,0.08659715827335585,probability
60,TRUE,FALSE,Grounding vs Control,1.7071598459303936,log_odds
60,TRUE,FALSE,Grounding vs Thematic,1.2290164530159942,log_odds
60,TRUE,FALSE,Thematic vs Control,0.4781433929143994,log_odds
60,TRUE,FALSE,Grounding vs Control,0.3330932055592023,probability
60,TRUE,FALSE,Grounding vs Thematic,0.23074290990611845,probability
60,TRUE,FALSE,Thematic vs Control,0.10235029565308384,probability
61,TRUE,FALSE,Grounding vs Control,1.8364489364600145,log_odds
61,TRUE,FALSE,Grounding vs Thematic,1.1610400683549602,log_odds
61,TRUE,FALSE,Thematic vs Control,0.6754088681050543,log_odds
61,TRUE,FALSE,Grounding vs Control,0.3006585308898489,probability
61,TRUE,FALSE,Grounding vs Thematic,0.1438144163764542,probability
61,TRUE,FALSE,Thematic vs Control,0.1568441145133947,probability
62,TRUE,FALSE,Grounding vs Control,1.4997487666772793,log_odds
62,TRUE,FALSE,Grounding vs Thematic,0.9103469841744473,log_odds
62,TRUE,FALSE,Thematic vs Control,0.5894017825028319,log_odds
62,TRUE,FALSE,Grounding vs Control,0.32803914586320454,probability
62,TRUE,FALSE,Grounding vs Thematic,0.1852548928839584,probability
62,TRUE,FALSE,Thematic vs Control,0.14278425297924613,probability
63,TRUE,FALSE,Grounding vs Control,1.4513608378710376,log_odds
63,TRUE,FALSE,Grounding vs Thematic,0.8761753691195766,log_odds
63,TRUE,FALSE,Thematic vs Control,0.575185468751461,log_odds
63,TRUE,FALSE,Grounding vs Control,0.2959573281241754,probability
63,TRUE,FALSE,Grounding vs Thematic,0.1597160724317231,probability
63,TRUE,FALSE,Thematic vs Control,0.13624125569245232,probability
64,TRUE,FALSE,Grounding vs Control,1.6258815021864113,log_odds
64,TRUE,FALSE,Grounding vs Thematic,1.2247192920623144,log_odds
